
Symbol,Date/Time,Open,High,Low,Close,Volume,Average,Trades
RELIANCE,20210622  09:15:00,2251.25,2253.0,2251.25,2251.25,196,2252.01,5
RELIANCE,20210622  09:15:05,2250.55,2251.2,2250.0,2251.2,78,2250.45,5
RELIANCE,20210622  09:15:10,2251.25,2251.75,2251.25,2251.75,211,2251.455,5
RELIANCE,20210622  09:15:15,2251.1,2251.3,2249.1,2249.1,242,2250.97,5
RELIANCE,20210622  09:15:20,2249.4,2249.4,2248.8,2249.0,50,2249.11,5
RELIANCE,20210622  09:15:25,2249.55,2249.55,2247.0,2247.05,46,2247.72,5
RELIANCE,20210622  09:15:30,2248.05,2248.05,2247.6,2248.0,126,2247.975,5
RELIANCE,20210622  09:15:35,2247.0,2248.5,2247.0,2248.5,124,2248.16,5
RELIANCE,20210622  09:15:40,2248.1,2248.95,2248.0,2248.2,31,2248.16,5
RELIANCE,20210622  09:15:45,2249.0,2251.2,2249.0,2251.2,93,2250.605,5
RELIANCE,20210622  09:15:50,2250.25,2251.2,2250.25,2251.2,92,2250.295,4
RELIANCE,20210622  09:15:55,2251.05,2251.2,2250.7,2251.15,88,2250.945,5
RELIANCE,20210622  09:16:00,2250.6,2251.75,2250.4,2250.95,101,2250.695,6
RELIANCE,20210622  09:16:05,2251.45,2251.45,2250.0,2250.0,242,2250.175,5
RELIANCE,20210622  09:16:10,2250.3,2250.3,2249.15,2249.15,68,2249.585,5
RELIANCE,20210622  09:16:15,2249.0,2249.0,2247.75,2247.75,139,2248.22,5
RELIANCE,20210622  09:16:20,2247.1,2247.75,2247.0,2247.0,142,2247.105,4
RELIANCE,20210622  09:16:25,2247.9,2248.0,2247.75,2247.9,86,2247.84,6
RELIANCE,20210622  09:16:30,2247.15,2247.9,2247.15,2247.9,117,2247.28,5
RELIANCE,20210622  09:16:35,2248.15,2249.1,2247.9,2249.0,75,2248.605,5
RELIANCE,20210622  09:16:40,2249.65,2249.9,2249.0,2249.0,139,2249.51,4
RELIANCE,20210622  09:16:45,2250.05,2250.1,2249.8,2249.95,383,2249.995,6
RELIANCE,20210622  09:16:50,2250.0,2250.0,2249.05,2249.25,137,2249.955,5
RELIANCE,20210622  09:16:55,2248.3,2249.3,2248.3,2248.35,115,2248.515,5
RELIANCE,20210622  09:17:00,2249.4,2249.65,2249.2,2249.4,197,2249.555,5
RELIANCE,20210622  09:17:05,2249.4,2250.65,2249.4,2250.0,24,2249.735,4
RELIANCE,20210622  09:17:10,2249.95,2250.35,2249.95,2250.0,240,2250.13,4
RELIANCE,20210622  09:17:15,2250.0,2250.65,2249.95,2249.95,199,2250.25,5
RELIANCE,20210622  09:17:20,2249.3,2250.0,2249.3,2250.0,433,2249.93,4
RELIANCE,20210622  09:17:25,2250.0,2250.0,2248.65,2249.15,127,2249.485,6
RELIANCE,20210622  09:17:30,2249.2,2249.2,2248.2,2248.6,74,2248.575,4
RELIANCE,20210622  09:17:35,2248.6,2248.6,2248.1,2248.1,144,2248.595,5
RELIANCE,20210622  09:17:40,2247.95,2247.95,2246.1,2246.1,66,2246.955,4
RELIANCE,20210622  09:17:45,2246.55,2246.55,2245.75,2246.4,268,2246.175,5
RELIANCE,20210622  09:17:50,2246.5,2246.5,2245.7,2246.35,125,2246.22,6
RELIANCE,20210622  09:17:55,2245.75,2246.0,2244.8,2244.9,88,2245.54,4
RELIANCE,20210622  09:18:00,2245.0,2245.75,2245.0,2245.65,316,2245.035,5
RELIANCE,20210622  09:18:05,2245.0,2245.45,2245.0,2245.0,144,2245.41,5
RELIANCE,20210622  09:18:10,2245.15,2247.15,2244.95,2247.15,378,2245.74,5
RELIANCE,20210622  09:18:15,2246.95,2246.95,2246.0,2246.0,312,2246.16,5
RELIANCE,20210622  09:18:20,2246.15,2247.4,2246.1,2247.05,152,2246.81,5
RELIANCE,20210622  09:18:25,2247.0,2247.1,2247.0,2247.0,285,2247.0,4
RELIANCE,20210622  09:18:30,2247.1,2248.05,2246.5,2248.05,174,2247.335,6
RELIANCE,20210622  09:18:35,2247.95,2247.95,2247.1,2247.45,58,2247.875,4
RELIANCE,20210622  09:18:40,2247.45,2247.6,2246.7,2247.45,327,2247.44,6
RELIANCE,20210622  09:18:45,2248.55,2249.1,2247.95,2249.1,158,2248.315,4
RELIANCE,20210622  09:18:50,2249.1,2249.7,2248.75,2248.75,40,2248.86,5
RELIANCE,20210622  09:18:55,2249.6,2250.0,2248.7,2250.0,173,2248.86,5
RELIANCE,20210622  09:19:00,2249.8,2250.0,2249.7,2249.9,383,2249.945,5
RELIANCE,20210622  09:19:05,2250.25,2250.25,2249.7,2249.9,172,2249.865,6
